MAZ,TAZ,Unnamed: 0,taz,luz_id,pop,hhp,hs,hs_sf,hs_mf,hs_mh,hh,hh_sf,hh_mf,hh_mh,hhs,gq_civ,gq_mil,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,emp_gov,emp_mil,emp_ag_min,emp_bus_svcs,emp_fin_res_mgm,emp_educ,emp_hlth,emp_ret,emp_trn_wrh,emp_con,emp_utl,emp_mnf,emp_whl,emp_ent,emp_accm,emp_food,emp_oth,emp_non_ws_wfh,emp_non_ws_oth,emp_total,pseudomsa,zip09,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,hotelroomtotal,parkactive,openspaceparkpreserve,beachactive,district27,milestocoast,acres,land_acres,effective_acres,truckregiontype,ech_dist,hch_dist,adultschenrl,hstallsoth,hstallssam,numfreehrs,dstallsoth,dstallssam,mstallsoth,mstallssam,budgetroom,economyroom,luxuryroom,midpriceroom,upscaleroom,MicroAccessTime,remoteAVParking,refueling_stations,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,microtransit,nev,mgra,exp_hourly,exp_daily,exp_monthly,parking_type,parking_spaces,poe_id,external_work,external_nonwork,external_TAZ,external_MAZ,walk_dist_local_bus,walk_dist_premium_transit,micro_dist_local_bus,micro_dist_premium_transit,ML_DIST,AVGTTS,PCTDETOUR,terminal_time
8000,2105,7999,2105,3,225,225,146,24,122,0,137,23,114,0,1.642335766,0,0,7,12,10,14,12,13,22,23,16,8,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,30,2,92103,0,0,0,0,0,0.0,0.355836,0.0,8,1.99,7.866993331,7.866993331,7.866993331,1,432801,432801,0,4,7,0,0,0,0,0,0,0,0,0,0,999,0,0,162,13.8445,8.8986,28.5024,4.3909,3,1,3,23936.6475,0,0,8000,1.0263092343409188,7.545298652326461,69.08841170213755,2,242.0,0.0,0.0,0.0,0.0,0.0,0.078,0.317,0.078,0.317,7.693,0.00395,0.0,0.0
8043,1705,8042,1705,2,54,54,34,34,0,0,32,32,0,0,1.6875,0,0,3,2,2,2,2,3,2,4,2,10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,15,21,2,92103,0,0,0,0,0,0.0,2.640039,0.0,27,0.88,12.06257131,12.06257131,11.05458444,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,23,7.3364,5.5587,15.8668,0.0,1,1,2,13712.3511,0,0,8043,1.840476859262984,11.676811337918233,97.85451149848116,2,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.932,0.435,0.932,8.6198,0.00376,0.0,0.0
8075,1846,8074,1846,28,6,6,4,0,4,0,4,0,4,0,1.5,0,0,1,0,0,0,0,0,0,0,0,3,50,0,0,130,7,48,7,3,0,0,0,0,0,0,1,200,4,0,34,484,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.61,3.105375779,3.105375779,3.105375779,1,432801,432801,0,13,194,0,0,181,0,181,0,0,0,0,0,999,0,0,210,23.1566,85.5602,46.8142,19.1701,3,3,3,84719.57,0,0,8075,3.936707855439664,18.583091972278982,137.10799495623388,1,35.0,0.0,0.0,0.0,0.0,0.0,0.053,0.053,0.053,0.053,10.0086,0.00379,0.0,0.0
8088,1826,8087,1826,28,352,352,281,0,281,0,258,0,258,0,1.364341085,0,0,54,20,8,12,29,30,4,16,25,60,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,1,7,10,163,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.4,2.082263262,2.082263262,2.082263262,1,432801,432801,0,7,7,0,0,0,0,0,0,0,0,0,0,999,0,0,181,24.3273,91.3828,49.9948,20.142,3,3,3,90481.6497,0,0,8088,4.29259781597614,19.320748540964324,136.71545416782922,1,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,10.247,0.00372,0.0,0.0
8141,1987,8140,1987,3,104,104,68,64,4,0,59,56,3,0,1.762711864,0,0,4,5,5,5,3,8,11,1,8,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,10,18,2,92103,0,0,0,0,0,0.0,13.368425,0.0,8,2.22,38.56080353,38.56080353,32.46785022,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,36,6.9607,1.5331,13.9743,0.8547,1,1,2,9924.7712,0,0,8141,1.4176333268451824,10.604006074401164,89.53418552247118,2,135.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.63,0.63,7.4016,0.00397,0.0,0.0
8167,1595,8166,1595,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,0,0,0,0,0,0,141,160,0,0,17,343,1,92101,0,0,0,0,600,0.0,0.0,0.0,15,0.08,12.35144646,12.35144646,12.35144646,1,432801,432801,0,1613,1613,0,1610,1610,174,174,0,0,0,0,0,999,0,0,89,15.4578,54.6766,32.0176,10.9278,2,3,3,55484.2807,0,0,8167,4.304207807048111,19.72353507150005,136.24966931682312,1,582.0,0.0,0.0,0.0,0.0,0.0,0.119,0.24,0.119,0.24,10.0703,0.00368,0.0,0.0
8188,1586,8187,1586,1,35,35,21,20,1,0,20,19,1,0,1.75,0,0,2,2,0,1,2,3,1,1,3,5,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,5,0,3,21,95,2,92103,358,227,0,0,0,0.0,5.605299,0.0,27,1.78,16.9643608,16.9643608,15.22373686,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,142,4.878,4.0847,10.9415,1.6824,3,1,1,9616.8091,0,0,8188,1.111969399135803,6.74134172432466,58.45564677547802,2,0.0,0.0,0.0,0.0,0.0,0.0,0.149,0.488,0.149,0.488,7.7454,0.0038,0.0,0.0
8213,1653,8212,1653,28,399,399,285,0,285,0,230,0,230,0,1.734782609,0,0,13,18,9,9,3,17,17,25,32,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.23,2.236430422,2.236430422,2.236430422,1,432801,432801,0,56,111,0,56,111,56,111,0,0,0,0,0,999,0,0,116,16.4047,77.8362,33.6038,9.3738,2,3,3,71321.6201,0,0,8213,4.283434063346729,19.95418217879193,138.67028164983356,1,701.0,0.0,0.0,0.0,0.0,0.0,0.087,0.209,0.087,0.209,9.8981,0.00369,0.0,0.0
8254,2105,8253,2105,3,129,129,83,39,44,0,78,38,40,0,1.653846154,0,0,3,8,6,9,7,7,12,12,9,5,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,6,6,11,31,2,92103,0,0,0,0,0,0.0,0.0,0.0,8,2.1,5.68422939,5.68422939,5.68422939,1,432801,432801,0,78,155,0,75,149,75,149,0,0,0,0,0,999,0,0,206,14.7867,17.2598,30.2711,6.1519,3,2,3,30419.8145,0,0,8254,1.0524888307409823,7.822896868643403,71.57302120193441,1,232.0,0.0,0.0,0.0,0.0,0.0,0.064,0.176,0.064,0.176,7.693,0.00395,0.0,0.0
8264,1637,8263,1637,2,16,16,10,7,3,0,9,6,3,0,1.777777778,0,0,0,1,0,1,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,12,2,92103,0,0,0,0,0,0.0,0.0,0.0,27,1.53,1.176720552,1.176720552,1.176720552,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,141,7.5701,7.228,16.3014,2.5135,3,1,2,15058.7748,0,0,8264,1.2991178066567697,8.471930513028866,73.54474782303089,2,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.187,0.187,0.187,8.0165,0.00383,0.0,0.0
